,Data,Residuo,Quantidade,Tecnologia,Unnamed: 4,Unnamed: 5,ano,mes
440,2019-06-10,180401(*),0.0,Aterro,,,2019,6
441,2019-06-10,180111(*),0.24,Aterro,,,2019,6
442,2019-06-11,180401(*),0.0,Aterro,,,2019,6
443,2019-06-11,180111(*),0.22,Aterro,,,2019,6
444,2019-06-12,180401(*),0.0,Aterro,,,2019,6
445,2019-06-12,180111(*),0.27,Aterro,,,2019,6
446,2019-06-13,180401(*),0.0,Aterro,,,2019,6
447,2019-06-13,180111(*),0.18,Aterro,,,2019,6
448,2019-06-13,180401(*),0.0,Aterro,,,2019,6
449,2019-06-13,180111(*),0.2,Aterro,,,2019,6
450,2019-06-13,180401(*),0.0,Aterro,,,2019,6
451,2019-06-13,180111(*),0.26,Aterro,,,2019,6
452,2019-06-17,180401(*),0.0,Aterro,,,2019,6
453,2019-06-17,180111(*),0.28,Aterro,,,2019,6
454,2019-06-18,180205(*),0.05,Incineração,,,2019,6
455,2019-06-18,180401(*),0.0,Aterro,,,2019,6
456,2019-06-18,180111(*),0.23,Aterro,,,2019,6
457,2019-06-19,180401(*),0.0,Aterro,,,2019,6
